,act,act_rel,act_type,chembl_id,dude_id,dude_smiles,name,rdkit_smiles,rdkit_smiles_template,score,subset,uniprot_id,unit
10,54,=,Ki,CHEMBL206232,fa7,Cc1cccc(c1)NC(=O)Cc2cc(cc(c2O)c3[nH]c4ccc(cc4n3)C(=N)N)C(CC(=O)O)C(=O)O,341927,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(CC(=O)Nc3cccc(C)c3)c2O)nc2cc(C(=N)N)ccc21,Cc1cccc(NC(=O)Cc2cc(C(CC(=O)O)C(=O)O)cc(-c3nc4cc(C(=N)N)ccc4[nH]3)c2O)c1,-57.00,actives,P08709,nM
11,15,=,Ki,CHEMBL386870,fa7,CC(C)(c1cc(c(c(c1)c2cc-3c([nH]ccc3n2)N)O)c4cccc(c4)CNC(=O)[C@H](Cc5ccccc5)O)C(=O)O,357461,[H]n1ccc2nc(-c3cc(C(C)(C)C(=O)O)cc(-c4cccc(CNC(=O)[C@@]([H])(O)Cc5ccccc5)c4)c3O)cc-2c1N,CC(C)(C(=O)O)c1cc(-c2cccc(CNC(=O)[C@@H](O)Cc3ccccc3)c2)c(O)c(-c2cc3c(N)[nH]ccc-3n2)c1,-56.63,actives,P08709,nM
12,17,=,Ki,CHEMBL214352,fa7,c1cc(c(c(c1)c2cc3cc(ccc3[nH]2)C(=N)N)O)c4cc(ccc4O)CNC(=O)N5CCOCC5,352913,[H]n1c(-c2cccc(-c3cc(CNC(=O)N4CCOCC4)ccc3O)c2O)cc2cc(C(=N)N)ccc21,N=C(N)c1ccc2[nH]c(-c3cccc(-c4cc(CNC(=O)N5CCOCC5)ccc4O)c3O)cc2c1,-56.47,actives,P08709,nM
13,1,=,Ki,CHEMBL206387,fa7,c1cc(c(cc1CNC(=O)N)c2cc(cc(c2O)c3[nH]c4ccc(cc4n3)C(=N)N)C(CC(=O)O)C(=O)O)O,344041,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3cc(CNC(N)=O)ccc3O)c2O)nc2cc(C(=N)N)ccc21,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cc(CNC(N)=O)ccc4O)c3O)nc2c1,-56.12,actives,P08709,nM
14,2.6,=,Ki,CHEMBL209946,fa7,CC(C)(c1cc(c(c(c1)c2cc-3c([nH]ccc3n2)N)O)c4cccc(c4)CNC(=O)Nc5c(cccc5F)F)C(=O)O,357463,[H]n1ccc2nc(-c3cc(C(C)(C)C(=O)O)cc(-c4cccc(CNC(=O)Nc5c(F)cccc5F)c4)c3O)cc-2c1N,CC(C)(C(=O)O)c1cc(-c2cccc(CNC(=O)Nc3c(F)cccc3F)c2)c(O)c(-c2cc3c(N)[nH]ccc-3n2)c1,-55.33,actives,P08709,nM
15,26,=,Ki,CHEMBL339200,fa7,Cc1cccc(c1)C(=O)Nc2ccc(cc2)C(C)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,203029,Cc1cccc(C(=O)Nc2ccc(C(C)NC(=O)CNC(=O)Nc3ccc(C(=N)N)cc3)cc2)c1,Cc1cccc(C(=O)Nc2ccc(C(C)NC(=O)CNC(=O)Nc3ccc(C(=N)N)cc3)cc2)c1,-54.95,actives,P08709,nM
16,54,=,Ki,CHEMBL206232,fa7,Cc1cccc(c1)NC(=O)Cc2cc(cc(c2O)c3[nH]c4ccc(cc4n3)C(=N)N)C(CC(=O)O)C(=O)O,341927,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(CC(=O)Nc3cccc(C)c3)c2O)nc2cc(C(=N)N)ccc21,Cc1cccc(NC(=O)Cc2cc(C(CC(=O)O)C(=O)O)cc(-c3nc4cc(C(=N)N)ccc4[nH]3)c2O)c1,-54.63,actives,P08709,nM
17,1,=,Ki,CHEMBL206387,fa7,c1cc(c(cc1CNC(=O)N)c2cc(cc(c2O)c3[nH]c4ccc(cc4n3)C(=N)N)C(CC(=O)O)C(=O)O)O,344041,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3cc(CNC(N)=O)ccc3O)c2O)nc2cc(C(=N)N)ccc21,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cc(CNC(N)=O)ccc4O)c3O)nc2c1,-54.58,actives,P08709,nM
18,1,=,Ki,CHEMBL382879,fa7,c1cc(cc(c1)N(=O)=O)c2cc(cc(c2O)c3cc4cc(ccc4[nH]3)C(=N)N)C(CC(=O)O)C(=O)O,344988,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3cccc([N+](=O)[O-])c3)c2O)cc2cc(C(=N)N)ccc21,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccc([N+](=O)[O-])c4)c3O)cc2c1,-54.27,actives,P08709,nM
19,20,=,Ki,CHEMBL122548,fa7,CC(c1ccc(cc1)C(=O)Nc2ccccc2)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,202418,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(C(=O)Nc2ccccc2)cc1,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(C(=O)Nc2ccccc2)cc1,-54.22,actives,P08709,nM
20,783,=,Ki,CHEMBL193745,fa7,CC(C)CCN(Cc1ccc2ccc(cc2c1)C(=N)N)C(=O)c3ccc4ccccc4c3,325431,CC(C)CCN(Cc1ccc2ccc(C(=N)N)cc2c1)C(=O)c1ccc2ccccc2c1,CC(C)CCN(Cc1ccc2ccc(C(=N)N)cc2c1)C(=O)c1ccc2ccccc2c1,-54.10,actives,P08709,nM
21,83,=,Ki,CHEMBL332983,fa7,CC(c1ccc(cc1)Oc2ccc(cc2)OC)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,203101,COc1ccc(Oc2ccc(C(C)NC(=O)CNC(=O)Nc3ccc(C(=N)N)cc3)cc2)cc1,COc1ccc(Oc2ccc(C(C)NC(=O)CNC(=O)Nc3ccc(C(=N)N)cc3)cc2)cc1,-54.08,actives,P08709,nM
22,4,=,Ki,CHEMBL178616,fa7,COc1cc(ccc1OCc2ccccc2)[C@H](C(=O)N[C@@H](c3ccccc3)C(=O)O)Nc4ccc(cc4)C(=N)N,303041,[H][C@@](NC(=O)[C@]([H])(Nc1ccc(C(=N)N)cc1)c1ccc(OCc2ccccc2)c(OC)c1)(C(=O)O)c1ccccc1,COc1cc([C@@H](Nc2ccc(C(=N)N)cc2)C(=O)N[C@H](C(=O)O)c2ccccc2)ccc1OCc1ccccc1,-53.98,actives,P08709,nM
23,40,=,Ki,CHEMBL360313,fa7,CCOc1ccc(cc1OCC)C(C(=O)NCc2ccccc2)Nc3ccc(cc3)C(=N)N,303050,CCOc1ccc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)cc1OCC,CCOc1ccc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)cc1OCC,-53.79,actives,P08709,nM
24,20,=,Ki,CHEMBL215436,fa7,CC(C)(c1cc(c(c(c1)c2cc-3c([nH]ccc3n2)N)O)c4cccc(c4)CNC(=O)Nc5ccc(cc5)C(=O)O)C(=O)O,357462,[H]n1ccc2nc(-c3cc(C(C)(C)C(=O)O)cc(-c4cccc(CNC(=O)Nc5ccc(C(=O)O)cc5)c4)c3O)cc-2c1N,CC(C)(C(=O)O)c1cc(-c2cccc(CNC(=O)Nc3ccc(C(=O)O)cc3)c2)c(O)c(-c2cc3c(N)[nH]ccc-3n2)c1,-53.77,actives,P08709,nM
25,130,=,Ki,CHEMBL180857,fa7,CCOc1cc(ccc1OCc2ccccc2)C(C(=O)NCc3ccccc3)Nc4ccc(cc4)C(=N)N,302968,CCOc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1,CCOc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1,-53.76,actives,P08709,nM
26,550,=,Ki,CHEMBL204228,fa7,c1cc(cnc1)c2cc(cc(c2O)c3[nH]c4ccc(cc4n3)C(=N)N)C(CC(=O)O)C(=O)O,342502,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3cccnc3)c2O)nc2cc(C(=N)N)ccc21,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccnc4)c3O)nc2c1,-53.70,actives,P08709,nM
27,15,=,Ki,CHEMBL332753,fa7,CC(c1ccc(c(c1)Br)N2CCOCC2)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,202919,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(N2CCOCC2)c(Br)c1,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(N2CCOCC2)c(Br)c1,-53.62,actives,P08709,nM
28,34,=,Ki,CHEMBL330943,fa7,CC(c1ccc(cc1)NC(=O)c2ccccc2)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,202481,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(NC(=O)c2ccccc2)cc1,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(NC(=O)c2ccccc2)cc1,-53.57,actives,P08709,nM
29,93,=,Ki,CHEMBL382064,fa7,CC(C)CCN(Cc1ccc2ccc(cc2c1)C(=N)N)C(=O)c3cccc4c3cccc4,325870,CC(C)CCN(Cc1ccc2ccc(C(=N)N)cc2c1)C(=O)c1cccc2ccccc12,CC(C)CCN(Cc1ccc2ccc(C(=N)N)cc2c1)C(=O)c1cccc2ccccc12,-53.31,actives,P08709,nM
30,1,=,Ki,CHEMBL382879,fa7,c1cc(cc(c1)N(=O)=O)c2cc(cc(c2O)c3cc4cc(ccc4[nH]3)C(=N)N)C(CC(=O)O)C(=O)O,344988,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3cccc([N+](=O)[O-])c3)c2O)cc2cc(C(=N)N)ccc21,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccc([N+](=O)[O-])c4)c3O)cc2c1,-53.20,actives,P08709,nM
31,43,=,Ki,CHEMBL421426,fa7,CC(c1ccc(cc1)C(=O)Nc2cccc(c2)Oc3ccccc3)NC(=O)CNC(=O)Nc4ccc(cc4)C(=N)N,202664,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(C(=O)Nc2cccc(Oc3ccccc3)c2)cc1,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(C(=O)Nc2cccc(Oc3ccccc3)c2)cc1,-53.06,actives,P08709,nM
32,23,=,Ki,CHEMBL122599,fa7,CC(c1ccc(cc1)OCc2cccc(c2)Cl)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,203099,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(OCc2cccc(Cl)c2)cc1,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(OCc2cccc(Cl)c2)cc1,-52.94,actives,P08709,nM
33,54,=,Ki,CHEMBL206232,fa7,Cc1cccc(c1)NC(=O)Cc2cc(cc(c2O)c3[nH]c4ccc(cc4n3)C(=N)N)C(CC(=O)O)C(=O)O,341927,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(CC(=O)Nc3cccc(C)c3)c2O)nc2cc(C(=N)N)ccc21,Cc1cccc(NC(=O)Cc2cc(C(CC(=O)O)C(=O)O)cc(-c3nc4cc(C(=N)N)ccc4[nH]3)c2O)c1,-52.91,actives,P08709,nM
34,282,=,Ki,CHEMBL196182,fa7,c1ccc2c(c1)cccc2C(=O)N(CCC[n+]3cc[nH]c3)Cc4ccc5ccc(cc5c4)C(=N)N,326153,[H]n1cc[n+](CCCN(Cc2ccc3ccc(C(=N)N)cc3c2)C(=O)c2cccc3ccccc23)c1,N=C(N)c1ccc2ccc(CN(CCC[n+]3cc[nH]c3)C(=O)c3cccc4ccccc34)cc2c1,-52.90,actives,P08709,nM
35,470,=,Ki,CHEMBL177450,fa7,CC(c1ccc2c(c1)NC(=O)CO2)NC(=O)CNC(=O)Nc3ccc(c(c3)F)C(=N)N,294203,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)c(F)c1)c1ccc2c(c1)NC(=O)CO2,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)c(F)c1)c1ccc2c(c1)NC(=O)CO2,-52.82,actives,P08709,nM
36,730,=,Ki,CHEMBL441030,fa7,c1ccc(cc1)C(c2ccccc2)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,49193,N=C(N)c1ccc(NC(=O)NCC(=O)NC(c2ccccc2)c2ccccc2)cc1,N=C(N)c1ccc(NC(=O)NCC(=O)NC(c2ccccc2)c2ccccc2)cc1,-52.79,actives,P08709,nM
37,121,=,Ki,CHEMBL197563,fa7,c1ccc2c(c1)cccc2C(=O)N(CCCN3CCOCC3)Cc4ccc5ccc(cc5c4)C(=N)N,326141,N=C(N)c1ccc2ccc(CN(CCCN3CCOCC3)C(=O)c3cccc4ccccc34)cc2c1,N=C(N)c1ccc2ccc(CN(CCCN3CCOCC3)C(=O)c3cccc4ccccc34)cc2c1,-52.64,actives,P08709,nM
38,142,=,Ki,CHEMBL194689,fa7,CN1CCCC1CCN(Cc2ccc3ccc(cc3c2)C(=N)N)C(=O)c4cccc5c4cccc5,326018,CN1CCCC1CCN(Cc1ccc2ccc(C(=N)N)cc2c1)C(=O)c1cccc2ccccc12,CN1CCCC1CCN(Cc1ccc2ccc(C(=N)N)cc2c1)C(=O)c1cccc2ccccc12,-52.63,actives,P08709,nM
39,480,=,Ki,CHEMBL430990,fa7,c1cc(cc(c1)c2n[nH]nn2)c3cc(cc(c3O)c4cc5cc(ccc5[nH]4)C(=N)N)CC(=O)O,114922,[H]n1nnc(-c2cccc(-c3cc(CC(=O)O)cc(-c4cc5cc(C(=N)N)ccc5n4[H])c3O)c2)n1,N=C(N)c1ccc2[nH]c(-c3cc(CC(=O)O)cc(-c4cccc(-c5nn[nH]n5)c4)c3O)cc2c1,-52.49,actives,P08709,nM
40,130,=,Ki,CHEMBL180857,fa7,CCOc1cc(ccc1OCc2ccccc2)C(C(=O)NCc3ccccc3)Nc4ccc(cc4)C(=N)N,302968,CCOc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1,CCOc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1,-52.43,actives,P08709,nM
41,78,=,Ki,CHEMBL122854,fa7,CC(c1ccc(cc1)Oc2ccccc2)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,202645,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(Oc2ccccc2)cc1,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(Oc2ccccc2)cc1,-52.42,actives,P08709,nM
42,1,=,Ki,CHEMBL206387,fa7,c1cc(c(cc1CNC(=O)N)c2cc(cc(c2O)c3[nH]c4ccc(cc4n3)C(=N)N)C(CC(=O)O)C(=O)O)O,344041,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3cc(CNC(N)=O)ccc3O)c2O)nc2cc(C(=N)N)ccc21,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cc(CNC(N)=O)ccc4O)c3O)nc2c1,-52.40,actives,P08709,nM
43,15,=,Ki,CHEMBL332753,fa7,CC(c1ccc(c(c1)Br)N2CCOCC2)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,202919,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(N2CCOCC2)c(Br)c1,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(N2CCOCC2)c(Br)c1,-52.40,actives,P08709,nM
44,12,=,Ki,CHEMBL429152,fa7,CC(c1ccc(cc1)NC(=O)c2cccc(c2)Oc3ccccc3)NC(=O)CNC(=O)Nc4ccc(cc4)C(=N)N,202632,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(NC(=O)c2cccc(Oc3ccccc3)c2)cc1,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(NC(=O)c2cccc(Oc3ccccc3)c2)cc1,-52.37,actives,P08709,nM
45,83,=,Ki,CHEMBL332983,fa7,CC(c1ccc(cc1)Oc2ccc(cc2)OC)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,203101,COc1ccc(Oc2ccc(C(C)NC(=O)CNC(=O)Nc3ccc(C(=N)N)cc3)cc2)cc1,COc1ccc(Oc2ccc(C(C)NC(=O)CNC(=O)Nc3ccc(C(=N)N)cc3)cc2)cc1,-52.35,actives,P08709,nM
46,256,=,Ki,CHEMBL338641,fa7,CC(c1cccc(c1)OCc2ccccc2)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,203106,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1cccc(OCc2ccccc2)c1,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1cccc(OCc2ccccc2)c1,-52.27,actives,P08709,nM
47,850,=,Ki,CHEMBL378108,fa7,c1ccc(cc1)C(C(=O)NCc2cccc(c2)c3cccc(c3O)c4cc-5c[nH]ccc5n4)O,348135,[H]n1ccc2nc(-c3cccc(-c4cccc(CNC(=O)C(O)c5ccccc5)c4)c3O)cc-2c1,O=C(NCc1cccc(-c2cccc(-c3cc4c[nH]ccc-4n3)c2O)c1)C(O)c1ccccc1,-52.25,actives,P08709,nM
48,1,=,Ki,CHEMBL382879,fa7,c1cc(cc(c1)N(=O)=O)c2cc(cc(c2O)c3cc4cc(ccc4[nH]3)C(=N)N)C(CC(=O)O)C(=O)O,344988,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3cccc([N+](=O)[O-])c3)c2O)cc2cc(C(=N)N)ccc21,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccc([N+](=O)[O-])c4)c3O)cc2c1,-52.24,actives,P08709,nM
49,20,=,Ki,CHEMBL435972,fa7,CC(c1ccc(cc1)OCc2cccc(c2)OC)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,202604,COc1cccc(COc2ccc(C(C)NC(=O)CNC(=O)Nc3ccc(C(=N)N)cc3)cc2)c1,COc1cccc(COc2ccc(C(C)NC(=O)CNC(=O)Nc3ccc(C(=N)N)cc3)cc2)c1,-52.22,actives,P08709,nM
50,20,=,Ki,CHEMBL204723,fa7,c1ccc(cc1)NC(=O)NCc2cccc(c2)c3cc(cc(c3O)c4cc5c([nH]4)ccc(n5)N)CC(=O)O,345203,[H]n1c(-c2cc(CC(=O)O)cc(-c3cccc(CNC(=O)Nc4ccccc4)c3)c2O)cc2nc(N)ccc21,Nc1ccc2[nH]c(-c3cc(CC(=O)O)cc(-c4cccc(CNC(=O)Nc5ccccc5)c4)c3O)cc2n1,-52.22,actives,P08709,nM
51,15,=,Ki,CHEMBL386870,fa7,CC(C)(c1cc(c(c(c1)c2cc-3c([nH]ccc3n2)N)O)c4cccc(c4)CNC(=O)[C@H](Cc5ccccc5)O)C(=O)O,357461,[H]n1ccc2nc(-c3cc(C(C)(C)C(=O)O)cc(-c4cccc(CNC(=O)[C@@]([H])(O)Cc5ccccc5)c4)c3O)cc-2c1N,CC(C)(C(=O)O)c1cc(-c2cccc(CNC(=O)[C@@H](O)Cc3ccccc3)c2)c(O)c(-c2cc3c(N)[nH]ccc-3n2)c1,-52.19,actives,P08709,nM
52,20,=,Ki,CHEMBL215436,fa7,CC(C)(c1cc(c(c(c1)c2cc-3c([nH]ccc3n2)N)O)c4cccc(c4)CNC(=O)Nc5ccc(cc5)C(=O)O)C(=O)O,357462,[H]n1ccc2nc(-c3cc(C(C)(C)C(=O)O)cc(-c4cccc(CNC(=O)Nc5ccc(C(=O)O)cc5)c4)c3O)cc-2c1N,CC(C)(C(=O)O)c1cc(-c2cccc(CNC(=O)Nc3ccc(C(=O)O)cc3)c2)c(O)c(-c2cc3c(N)[nH]ccc-3n2)c1,-52.17,actives,P08709,nM
53,2.6,=,Ki,CHEMBL209946,fa7,CC(C)(c1cc(c(c(c1)c2cc-3c([nH]ccc3n2)N)O)c4cccc(c4)CNC(=O)Nc5c(cccc5F)F)C(=O)O,357463,[H]n1ccc2nc(-c3cc(C(C)(C)C(=O)O)cc(-c4cccc(CNC(=O)Nc5c(F)cccc5F)c4)c3O)cc-2c1N,CC(C)(C(=O)O)c1cc(-c2cccc(CNC(=O)Nc3c(F)cccc3F)c2)c(O)c(-c2cc3c(N)[nH]ccc-3n2)c1,-52.13,actives,P08709,nM
54,78,=,Ki,CHEMBL122854,fa7,CC(c1ccc(cc1)Oc2ccccc2)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,202645,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(Oc2ccccc2)cc1,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(Oc2ccccc2)cc1,-52.04,actives,P08709,nM
55,500,=,IC50,CHEMBL137487,fa7,c1ccc(cc1)CNc2ccc(c(c2F)CC(=O)NCc3ccc(cc3)C(=N)N)c4cccc(c4)N,226184,N=C(N)c1ccc(CNC(=O)Cc2c(-c3cccc(N)c3)ccc(NCc3ccccc3)c2F)cc1,N=C(N)c1ccc(CNC(=O)Cc2c(-c3cccc(N)c3)ccc(NCc3ccccc3)c2F)cc1,-52.02,actives,P08709,nM
56,550,=,Ki,CHEMBL204228,fa7,c1cc(cnc1)c2cc(cc(c2O)c3[nH]c4ccc(cc4n3)C(=N)N)C(CC(=O)O)C(=O)O,342502,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3cccnc3)c2O)nc2cc(C(=N)N)ccc21,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccnc4)c3O)nc2c1,-52.01,actives,P08709,nM
57,27,=,Ki,CHEMBL35754,fa7,CC(c1ccc(cc1C(F)(F)F)C(F)(F)F)NC(=O)CNC(=O)Nc2ccc(cc2)C(=N)N,48210,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(C(F)(F)F)cc1C(F)(F)F,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(C(F)(F)F)cc1C(F)(F)F,-51.83,actives,P08709,nM
